title,wine_type,variety,flavor_categories_taste_notes,points,description,price,winery,country,province,region
Cavallotto 2010 Vignolo Riserva  (Barolo),Red,Nebbiolo,"medium bodied, balanced",97,"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022–2035.",150,Cavallotto,Italy,Piedmont,Barolo
Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Red,Shiraz,"full bodied, robust",95,"Dusty, firm, powerful: just a few apt descriptors for this vintage of one of Heathcote's top wines. Mocha, licorice and blackberries feature on the nose, while the palate delivers more of the same—dark fruit, chocolate and plenty of spice. Best after 2020.",85,Jasper Hill,Australia,Victoria,Heathcote
Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot),Red,Pinot Noir,"medium bodied, balanced",95,"Produced from vines more than 100 years old in the heart of the Clos de Vougeot vineyard, this is an impressive wine with a long future. The wood aging is already surrounded by ripe, intense black fruits. A fresher character comes from the bright acidity of the vintage, giving the wine a lift. The aftertaste is long and concentrated. Drink from 2024.",350,Château de la Tour,France,Burgundy,Clos de Vougeot
Bel Colle 2012 Simposio  (Barolo),Red,Nebbiolo,"light, fruity",95,"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances alongside polished tannins. Drink 2018–2028.",60,Bel Colle,Italy,Piedmont,Barolo
J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Red,Cabernet Sauvignon,"medium bodied, balanced",95,"As impressive as the woman—a pioneer in the Napa Valley—was herself, this 100% varietal wine from the estate property high atop Diamond Mountain is powerfully elegant, intense yet refined. It begins with a high-toned, graceful entry that's rich in blueberry and chocolate, the oak smooth and integrated, with a suggestion of hand-rolled tobacco. Drink now through 2022.",200,J. Davies,US,California,Diamond Mountain District
Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Red,Pinot Noir,"medium bodied, balanced",95,"For 2014, the Weber is the star of a very fine Winderlea lineup. Dark and deeply concentrated, it's jammed with black cherry fruit, annotated with anise and showing a hint of gunmetal. The tannins are ripe and taste of clean earth. This is a fine candidate for aging. Drink now through 2030.",48,Winderlea,US,Oregon,Dundee Hills
Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Red,Shiraz,"medium bodied, balanced",95,"The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky—full of menthol, vanilla and toasted coconut—but there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now–2025.",60,Wakefield,Australia,South Australia,Clare Valley
Quilceda Creek 2008 Cabernet Sauvignon (Columbia Valley (WA)),Red,Cabernet Sauvignon,"medium bodied, balanced",99,"The flagship wine from Quilceda Creek offers exotic scents of plum, cassis, loam, coffee and pine sap, a rich and evocative blend. The wine delivers all that is promised and more; it is deep and dense with flavor, polished, focused and persistent. Vanilla, espresso, fine tannins, luscious acids and cascading fruits.",125,Quilceda Creek,US,Washington,Columbia Valley (WA)
Williams Selyem 2009 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Red,Pinot Noir,"full bodied, robust",99,"A stupendous Pinot Noir, showing how beautifully this vineyard performs in the remote Sonoma Coast above Fort Ross. Williams Selyem's last few vintages of Precious Mountain have been extraordinary, but this 2009 tops them all. The wine is as light as a feather in the mouth, modest in alcohol and delicately feminine, like pure satin. However, few Pinot Noirs in the world achieve this level of concentration. Wild raspberries and cherries, cola, sleek minerals, dusty baking spices and smoky oak combine for flavors that are utterly delicious. After all that, it possesses an indefinable attribute of fascination. Will age well for a long time, if you can keep your hands off it. Now–2021.",94,Williams Selyem,US,California,Sonoma Coast
Château Margaux 2009  Margaux,Red,Bordeaux-style Red Blend,"light, fruity",98,"A massive wine for Margaux, packed with tannins and ripe fruit. It has more Cabernet Sauvignon than usual, giving intense black currant flavors with enticing acidity balanced by the sweetness of the fruit. Ripe swathes of this opulent fruit are also elegant and structured.",1900,Château Margaux,France,Bordeaux,Margaux
Château Palmer 2009  Margaux,Red,Bordeaux-style Red Blend,"full bodied, robust",98,"A beautiful wine, with the firmest tannins surrounded by perfumed fruit. It is dense, of course, but this density is balanced with great elegance, blackberry fruits, sweetness and final juicy acidity. The wine is structured, a powerhouse of concentration while preserving this complete style.",380,Château Palmer,France,Bordeaux,Margaux
Pirouette 2008 Red Wine Red (Columbia Valley (WA)),Red,Bordeaux-style Red Blend,"full bodied, robust",98,"A stunning Pirouette—63% Cabernet Sauvignon, 22% Merlot, 9% Cab Franc and 6% Petit Verdot. Full and magnificently rich, it is loaded with dense and thrilling fruit flavors of black cherry and cassis. A streak of iron and a hint of citrus keep the wine evolving through a long, beautifully balanced finish. Retasted after being open for 24 hours, the wine was as fresh and thrilling as on the first day.",50,Pirouette,US,Washington,Columbia Valley (WA)
Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),Red,Red Blend,"medium bodied, balanced",98,"Here's a “wow” wine on every level, with incredible intensity and supple softness that builds momentum over many long minutes. A sweet cherry note at the core is surrounded by lush layers of tobacco, dark chocolate and spice, which promise to evolve gracefully over years to come.",102,Marchesi Antinori,Italy,Tuscany,Bolgheri Superiore
Château Troplong Mondot 2009  Saint-Émilion,Red,Bordeaux-style Red Blend,"medium bodied, balanced",97,"A very concentrated wine with such a stylish feel. It balances ripe berry fruits with chocolate and wood flavors in the richest, ripest combination. The wine has power, without losing its poised character. It's ready for long aging.",170,Château Troplong Mondot,France,Bordeaux,Saint-Émilion
Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),Red,Red Blend,"full bodied, robust",97,"Recently implemented winemaker and cellar changes make this one of the best Sassicaias ever. This Cabernet Sauvignon-Cabernet Franc blend delivers thick concentration and sun-kissed aromas of black fruit, prune, dried bay leaf, black olive and tobacco. The thick, fertile soils that characterize the magical strip of coastal Tuscany at Bol-gheri help shape amazing richness and intensity.",220,Tenuta San Guido,Italy,Tuscany,Bolgheri Sassicaia
Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),Red,Red Blend,"medium bodied, balanced",97,"The 2008 Ornellaia delivers concentrated aromas of forest fruit, raspberry and black cherry. There are beautiful elements of soft spice and chocolate at the back and the wine ends with soft, plush tannins and smooth, berry-rich flavors.",215,Tenuta dell'Ornellaia,Italy,Tuscany,Bolgheri Superiore
JCB 2009 No. 1 Cabernet Sauvignon (Napa Valley),Red,Cabernet Sauvignon,"full bodied, robust",97,"An outstanding wine, the best California Cabernet Jean-Charles Boisset has ever produced from any of his properties. It stands out in any tasting of its peers. Made from 100% Cabernet Sauvignon, and aged in 60% new oak, it shows satisfying, complex flavors of blackberries, blueberries, cassis, hazelnut-infused chocolate and spices. Hard to exaggerate its power and grace. Wonderful now and for a good six years, but it's difficult to predict its evolution beyond 2018.",150,JCB,US,California,Napa Valley
Château La Mission Haut-Brion 2009  Pessac-Léognan,Red,Bordeaux-style Red Blend,"medium bodied, balanced",97,"Such a generous and ripe wine, with a dark core of tannins surrounded by opulent fruit. Black fruits, coffee, very concentrated flavors, a powerhouse of structure and richness. The warmth of the wine is palpable, as is the aging potential.",1100,Château La Mission Haut-Brion,France,Bordeaux,Pessac-Léognan
Williams Selyem 2009 Allen Vineyard Pinot Noir (Russian River Valley),Red,Pinot Noir,"full bodied, robust",97,"A drop-dead gorgeous Pinot Noir that will satisfy everyone from Burgundy fans to diehard Cabernet cultists. Show an elegant complexity and silky texture that define great California Pinot Noir, yet with a powerful impact that emphasizes raspberries, cherries and blueberries. Brilliant acidity and tannins provide the perfect framework on this wine that's drinkable now, and will develop over the next 15–20 years.",82,Williams Selyem,US,California,Russian River Valley
Château Figeac 2009  Saint-Émilion,Red,Bordeaux-style Red Blend,"light, fruity",96,"A ripe year like 2009 is kind to the Cabernet Sauvignon of Château Figeac. The wine is perfumed with new wood and sweet fruits, delicious black currant flavors giving both ripeness and freshness. The wine has weight and impressive density. A star of the vintage.",280,Château Figeac,France,Bordeaux,Saint-Émilion
Château Léoville Poyferré 2009  Saint-Julien,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"An immensely structured wine, packed with dark tannins promising aging potential. It is complex, powerful, layered with new wood and concentration, finishing with dark plum fruits and acidity.",200,Château Léoville Poyferré,France,Bordeaux,Saint-Julien
Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore),Red,Red Blend,"full bodied, robust",96,"Here's a beautifully chocolaty and rich blend of Cabernet Sauvignon, Merlot and Cabernet Franc, with plush layers of sweet cherry, Indian spice, tobacco and espresso. The wine is amazingly rich and long lasting, with silky, supple tannins at the very end. Keep it in your cellar 10 years or more, or drink it now.",75,Tenuta Argentiera,Italy,Tuscany,Bolgheri Superiore
Château Haut-Brion 2009  Pessac-Léognan,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"Solid, very structured, packed with dense and dry tannins. There is a core of acidity and darkness that gives the wine a brooding, powerful character. At this stage, it seems austere although it does have the weight of fruit typical of the year.",1200,Château Haut-Brion,France,Bordeaux,Pessac-Léognan
Château Lynch-Bages 2009  Pauillac,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"A dense, immense, solidly powerful wine. The ripest fruit overflows, paralleling the dark, solid tannins. As so often, Lynch-Bages is a blockbuster, dark and concentrated, with immense aging potential.",195,Château Lynch-Bages,France,Bordeaux,Pauillac
Groth 2008 Reserve Cabernet Sauvignon (Oakville),Red,Cabernet Sauvignon,"full bodied, robust",96,"A huge Cabernet, in the best sense of the word. It wasn't the easiest vintage, as 2007 was, but meticulous winemaking did the job, resulting in this amazingly rich, impressively ripe wine that's drinkable now and will develop for many years. The fruits veer toward blackberries, cherries and cola, and the tannins are soft and refined. One hundred percent new French oak isn't at all heavy, lending nuances of buttered toast and sweet wood tannins. Will easily age for 15 years.",125,Groth,US,California,Oakville
Château Mouton Rothschild 2009  Pauillac,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"The purest Cabernet Sauvignon fruit, with dark chocolate and intense dark berry flavors. The tannins are so enveloped by the fruit and yet they promise great aging. At this stage, wood shows through the fruit, but the texture is so rich and opulent that it should easily become integrated.",1300,Château Mouton Rothschild,France,Bordeaux,Pauillac
Château Trotanoy 2009  Pomerol,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"Beneath the surface tannins is great Merlot fruit, very ripe and full-bodied, a powerhouse of flavors. The depth and complexity of the wine is all there, along with a dark core of dryness. A wine for long-term aging.",400,Château Trotanoy,France,Bordeaux,Pomerol
Williams Selyem 2009 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley),Red,Pinot Noir,"medium bodied, balanced",96,"A triumph, one of the greatest Riverblock bottings in years. This always is a captivating wine, but the '09 is particularly scrumptious. Although it's quite tannic and acidic, it's forward enough in raspberries, cherries and cola to enjoy now. But it's bone dry and as elegant as California Pinot Noir gets. The balance suggests an ability to age for a good 10 years, if not longer.",78,Williams Selyem,US,California,Russian River Valley
Château Beau-Séjour Bécot 2009  Saint-Émilion,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"Minty new wood aromas on a wine that shows both great tannins and sweet wood. The fruit is still to show, but promises fresh plum flavors that will be delicious and juicy. This is a ripe, concentrated wine.",75,Château Beau-Séjour Bécot,France,Bordeaux,Saint-Émilion
Williams Selyem 2009 Flax Vineyard Pinot Noir (Russian River Valley),Red,Pinot Noir,"medium bodied, balanced",95,"A sip is all it takes to fall in love with this potent Pinot Noir. Big tannins and crisp acidity make it hard to appreciate now, but there's a gigantic core of cherries and raspberries, with a firm minerality from the soil. Will develop bottle complexity over the years. Don't even think of popping the cork before 2015.",56,Williams Selyem,US,California,Russian River Valley
Château Branaire-Ducru 2009  Saint-Julien,Red,Bordeaux-style Red Blend,"medium bodied, balanced",95,"Very supple wine, with great richness and density. It is all so complete, a pleasure, powerful yet also with sweet opulent fruits layered with dark tannins. For long-term aging.",89,Château Branaire-Ducru,France,Bordeaux,Saint-Julien
Château Canon 2009  Saint-Émilion,Red,Bordeaux-style Red Blend,"full bodied, robust",95,"Hugely dense, foursquare wine with great fruit and the purest tannins. Chocolate and coffee predominate at the same time as sweet tannins and acidity. A wine that combines charm with great power.",163,Château Canon,France,Bordeaux,Saint-Émilion
